fid,id,left,top,right,bottom,row_index,col_index,tree_height_mean,tree_height_min,tree_height_max,biketrail_distance_mean,biketrail_distance_max,carroad_mean,carroad_max,horse_mean,horse_max,hiking_distance_mean,hiking_distance_max
"8737","30362",320433.2125,5606991.8086,320533.2125,5606891.8086,"115","142",14.7277050415039,0,24.7200012207031,359.944416259766,428.802978515625,1745.10513128662,1801.49377441406,1251.82031463623,1304.53100585938,487.161991943359,541.543151855469
"8738","30363",320433.2125,5606891.8086,320533.2125,5606791.8086,"116","142",8.94975417175293,0,25.1000061035156,284.02282297821,352.846984863281,1762.35407958984,1820.92834472656,1152.02152637939,1204.98999023438,467.53959413147,533.033752441406
"8739","30364",320433.2125,5606791.8086,320533.2125,5606691.8086,"117","142",12.107611138916,0,21.8799743652344,218.173822229004,287.987854003906,1785.04674602051,1845.58386230469,1052.25554068604,1105.486328125,385.25899659729,448.411651611328
"8740","30365",320433.2125,5606691.8086,320533.2125,5606591.8086,"118","142",13.3695519348145,0,21.1700134277344,146.310078851318,213.046936035156,1812.97872714844,1875.25463867188,952.52242845459,1005.98260498047,293.247357527161,358.710174560547
"8741","30366",320433.2125,5606591.8086,320533.2125,5606491.8086,"119","142",10.3830689849854,0,21.8399963378906,56.324740639627,116.661903381348,1845.91219852295,1909.70678710938,852.822129785156,906.478881835938,208.560383641052,276.175659179688
"8742","30367",320433.2125,5606491.8086,320533.2125,5606391.8086,"120","142",5.15174393310547,0,37.6499938964844,40.6383162453055,100.662803649902,1883.58483457031,1948.68676757812,753.154556341553,806.975219726562,144.940424619293,209.458831787109
"8743","30368",320433.2125,5606391.8086,320533.2125,5606291.8086,"121","142",7.07984295654297,0,38.739990234375,102.952994510269,154.690017700195,1925.71851849365,1991.9287109375,653.519560394287,707.471557617188,136.083713018036,197.22575378418
"8744","30369",320433.2125,5606291.8086,320533.2125,5606191.8086,"122","142",5.33585198364258,0,26.5299987792969,68.8076218183517,136.970794677734,1972.02733221436,2039.16162109375,553.917263623047,607.967956542969,189.729012228394,257.483978271484
"8745","30370",320433.2125,5606191.8086,320533.2125,5606091.8086,"123","142",7.28550020446777,0,24.1199951171875,25.9737037857771,84.2021408081055,2022.22446486816,2090.11474609375,454.354498602295,508.551879882812,271.105991659546,337.191345214844
"8746","30371",320433.2125,5606091.8086,320533.2125,5605991.8086,"124","142",14.4394948028564,0,26.1799926757812,51.8945763715506,121.622367858887,2075.97389915771,2136.43310546875,354.843291647339,409.190673828125,361.936838150024,425.556121826172
